Publication Date,Title,Link
2/22/2018,"U.S. Department of the Interior, National Park Service, Kaloko-Honokōhau National Historical Park, HI",https://www.federalregister.gov/documents/2018/02/22/2018-03637/notice-of-intent-to-repatriate-cultural-items-us-department-of-the-interior-national-park-service
1/30/2018,"The Museum of Anthropology at Washington State University, Pullman, WA; Correction",https://www.federalregister.gov/documents/2018/01/30/2018-01728/notice-of-intent-to-repatriate-cultural-items-the-museum-of-anthropology-at-washington-state
1/30/2018,"U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC",https://www.federalregister.gov/documents/2018/01/30/2018-01727/notice-of-intent-to-repatriate-cultural-items-us-department-of-the-interior-bureau-of-indian-affairs
1/30/2018,"Thomas Gilcrease Institute of American History and Art, Tulsa, OK",https://www.federalregister.gov/documents/2018/01/30/2018-01712/notice-of-intent-to-repatriate-cultural-items-thomas-gilcrease-institute-of-american-history-and-art
1/30/2018,"Grand Rapids Public Museum, Grand Rapids, MI",https://www.federalregister.gov/documents/2018/01/30/2018-01714/notice-of-intent-to-repatriate-cultural-items-grand-rapids-public-museum-grand-rapids-mi
1/30/2018,"History Colorado, Formerly Colorado Historical Society, Denver, CO",https://www.federalregister.gov/documents/2018/01/30/2018-01724/notice-of-intent-to-repatriate-cultural-items-history-colorado-formerly-colorado-historical-society
12/6/2017,"Andover Newton Theological School, Newton Centre, MA",https://www.federalregister.gov/documents/2017/12/06/2017-26288/notice-of-intent-to-repatriate-cultural-items-andover-newton-theological-school-newton-centre-ma
11/8/2017,"New York State Museum, Albany, NY",https://www.federalregister.gov/documents/2017/11/08/2017-24227/notice-of-intent-to-repatriate-cultural-items-new-york-state-museum-albany-ny
11/8/2017,"Museum of Texas Tech University, Lubbock, TX",https://www.federalregister.gov/documents/2017/11/08/2017-24232/notice-of-intent-to-repatriate-cultural-items-museum-of-texas-tech-university-lubbock-tx
11/8/2017,"New York State Museum, Albany, NY",https://www.federalregister.gov/documents/2017/11/08/2017-24228/notice-of-intent-to-repatriate-cultural-items-new-york-state-museum-albany-ny
11/8/2017,"New York State Museum, Albany, NY",https://www.federalregister.gov/documents/2017/11/08/2017-24230/notice-of-intent-to-repatriate-cultural-items-new-york-state-museum-albany-ny
11/8/2017,"New York State Museum, Albany, NY",https://www.federalregister.gov/documents/2017/11/08/2017-24229/notice-of-intent-to-repatriate-cultural-items-new-york-state-museum-albany-ny
9/22/2017,"U.S. Army Corps of Engineers, Omaha District, Omaha, NE",https://www.federalregister.gov/documents/2017/09/22/2017-20295/notice-of-intent-to-repatriate-cultural-items-us-army-corps-of-engineers-omaha-district-omaha-ne
9/22/2017,"U.S. Army Corps of Engineers, Omaha District, Omaha, NE",https://www.federalregister.gov/documents/2017/09/22/2017-20294/notice-of-intent-to-repatriate-cultural-items-us-army-corps-of-engineers-omaha-district-omaha-ne
9/22/2017,"U.S. Army Corps of Engineers, Omaha District, Omaha, NE",https://www.federalregister.gov/documents/2017/09/22/2017-20304/notice-of-intent-to-repatriate-cultural-items-us-army-corps-of-engineers-omaha-district-omaha-ne
8/30/2017,"U.S. Department of Agriculture, Forest Service, Tonto National Forest, Phoenix, AZ",https://www.federalregister.gov/documents/2017/08/30/2017-18346/notice-of-intent-to-repatriate-cultural-items-us-department-of-agriculture-forest-service-tonto
8/30/2017,"Science Museum of Minnesota, St. Paul, MN",https://www.federalregister.gov/documents/2017/08/30/2017-18345/notice-of-intent-to-repatriate-cultural-items-science-museum-of-minnesota-st-paul-mn
8/28/2017,"Brooklyn Museum, Brooklyn, NY",https://www.federalregister.gov/documents/2017/08/28/2017-18188/notice-of-intent-to-repatriate-cultural-items-brooklyn-museum-brooklyn-ny
8/28/2017,"U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC, and Arizona State Museum, University of Arizona, Tucson, AZ",https://www.federalregister.gov/documents/2017/08/28/2017-18186/notice-of-intent-to-repatriate-cultural-items-us-department-of-the-interior-bureau-of-indian-affairs
8/28/2017,"The Fort Worth Museum of Science and History, Fort Worth, TX",https://www.federalregister.gov/documents/2017/08/28/2017-18185/notice-of-intent-to-repatriate-cultural-items-the-fort-worth-museum-of-science-and-history-fort
8/28/2017,"Denver Museum of Nature & Science, Denver, CO",https://www.federalregister.gov/documents/2017/08/28/2017-18184/notice-of-intent-to-repatriate-cultural-items-denver-museum-of-nature-and-science-denver-co
8/28/2017,"Tennessee Valley Authority, Knoxville, TN",https://www.federalregister.gov/documents/2017/08/28/2017-18187/notice-of-intent-to-repatriate-cultural-items-tennessee-valley-authority-knoxville-tn
7/24/2017,"State Historical Society of North Dakota, Bismarck, ND",https://www.federalregister.gov/documents/2017/07/24/2017-15469/notice-of-intent-to-repatriate-cultural-items-state-historical-society-of-north-dakota-bismarck-nd
