Publication Date,Title,Link,json_url,fulltext_url
9/3/2019,"Department of Anthropology, University of Alaska Anchorage, Anchorage, AK",https://www.federalregister.gov/documents/2019/09/03/2019-18855/notice-of-inventory-completion-department-of-anthropology-university-of-alaska-anchorage-anchorage,https://www.federalregister.gov/api/v1/documents/2019-18855?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18855.xml
9/3/2019,"Department of Anthropology, University of Alaska Anchorage, Anchorage, AK",https://www.federalregister.gov/documents/2019/09/03/2019-18856/notice-of-inventory-completion-department-of-anthropology-university-of-alaska-anchorage-anchorage,https://www.federalregister.gov/api/v1/documents/2019-18856?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18856.xml
9/3/2019,"U.S. Department of the Interior, National Park Service, Russell Cave National Monument, Bridgeport, AL",https://www.federalregister.gov/documents/2019/09/03/2019-18867/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-russell-cave,https://www.federalregister.gov/api/v1/documents/2019-18867?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18867.xml
9/3/2019,"U.S. Department of Agriculture, Forest Service, Shoshone National Forest, Cody, WY",https://www.federalregister.gov/documents/2019/09/03/2019-18858/notice-of-inventory-completion-us-department-of-agriculture-forest-service-shoshone-national-forest,https://www.federalregister.gov/api/v1/documents/2019-18858?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18858.xml
9/3/2019,"Department of Anthropology, University of Alaska Anchorage, Anchorage, AK",https://www.federalregister.gov/documents/2019/09/03/2019-18857/notice-of-inventory-completion-department-of-anthropology-university-of-alaska-anchorage-anchorage,https://www.federalregister.gov/api/v1/documents/2019-18857?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18857.xml
8/15/2019,"Missouri Department of Natural Resources, Jefferson City, MO; Correction; Correction",https://www.federalregister.gov/documents/2019/08/15/2019-17554/notice-of-inventory-completion-missouri-department-of-natural-resources-jefferson-city-mo-correction,https://www.federalregister.gov/api/v1/documents/2019-17554?publication_date=2019-08-15,https://www.federalregister.gov/documents/full_text/xml/2019/08/15/2019-17554.xml
8/15/2019,"U.S. Department of the Interior, National Park Service, Natchez Trace Parkway, Tupelo, MS",https://www.federalregister.gov/documents/2019/08/15/2019-17553/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-natchez-trace,https://www.federalregister.gov/api/v1/documents/2019-17553?publication_date=2019-08-15,https://www.federalregister.gov/documents/full_text/xml/2019/08/15/2019-17553.xml
8/15/2019,"U.S. Department of the Interior, National Park Service, Natchez Trace Parkway, Tupelo, MS",https://www.federalregister.gov/documents/2019/08/15/2019-17552/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-natchez-trace,https://www.federalregister.gov/api/v1/documents/2019-17552?publication_date=2019-08-15,https://www.federalregister.gov/documents/full_text/xml/2019/08/15/2019-17552.xml
8/5/2019,"Arizona State Museum, University of Arizona, Tucson, AZ; Correction",https://www.federalregister.gov/documents/2019/08/05/2019-16687/notice-of-inventory-completion-arizona-state-museum-university-of-arizona-tucson-az-correction,https://www.federalregister.gov/api/v1/documents/2019-16687?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16687.xml
8/5/2019,"Arizona State Museum, University of Arizona, Tucson, AZ; Correction",https://www.federalregister.gov/documents/2019/08/05/2019-16688/notice-of-inventory-completion-arizona-state-museum-university-of-arizona-tucson-az-correction,https://www.federalregister.gov/api/v1/documents/2019-16688?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16688.xml
8/5/2019,"Tennessee Valley Authority, Knoxville, TN",https://www.federalregister.gov/documents/2019/08/05/2019-16691/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.federalregister.gov/api/v1/documents/2019-16691?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16691.xml
8/5/2019,"Tennessee Valley Authority, Knoxville, TN",https://www.federalregister.gov/documents/2019/08/05/2019-16690/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.federalregister.gov/api/v1/documents/2019-16690?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16690.xml
8/5/2019,"Los Angeles County Museum of Natural History, Los Angeles, CA",https://www.federalregister.gov/documents/2019/08/05/2019-16683/notice-of-inventory-completion-los-angeles-county-museum-of-natural-history-los-angeles-ca,https://www.federalregister.gov/api/v1/documents/2019-16683?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16683.xml
